instnm,Applicants total (ADM2015),
University of New England,4416,
University of New Hampshire at Manchester,205,
University of New Hampshire-Main Campus,19255,
University of New Haven,10748,
University of New Mexico-Main Campus,13189,
University of New Orleans,3932,
University of North Alabama,3319,
University of North Carolina at Asheville,3285,
University of North Carolina at Chapel Hill,31143,
University of North Carolina at Charlotte,16383,
University of North Carolina at Greensboro,10566,
University of North Carolina at Pembroke,4596,
University of North Carolina School of the Arts,887,
University of North Carolina Wilmington,11444,
University of North Dakota,4920,
University of North Florida,10902,
University of North Georgia,7561,
University of North Texas,16253,
University of North Texas at Dallas,2001,
University of Northern Colorado,7143,
University of Northern Iowa,5394,
University of Northwestern-St Paul,1338,
University of Notre Dame,18157,
University of Oklahoma-Norman Campus,12002,
University of Oregon,22000,
University of Pennsylvania,37268,
University of Pikeville,2408,
University of Pittsburgh Medical Center-Shadyside School of Nursing,12,
University of Pittsburgh-Bradford,3181,
University of Pittsburgh-Greensburg,2044,
University of Pittsburgh-Johnstown,3456,
University of Pittsburgh-Pittsburgh Campus,30626,
University of Pittsburgh-Titusville,650,
University of Portland,11200,
University of Puerto Rico-Aguadilla,1133,
University of Puerto Rico-Arecibo,1208,
University of Puerto Rico-Bayamon,5366,
University of Puerto Rico-Carolina,4237,
University of Puerto Rico-Cayey,1100,
University of Puerto Rico-Humacao,2169,
University of Puerto Rico-Mayaguez,3318,
University of Puerto Rico-Ponce,2138,
University of Puerto Rico-Rio Piedras,10722,
University of Puerto Rico-Utuado,2422,
University of Puget Sound,5827,
University of Redlands,4790,
University of Rhode Island,20366,
University of Richmond,9977,
University of Rochester,17912,
University of Saint Francis-Fort Wayne,991,
University of Saint Joseph,751,
University of Saint Mary,940,
University of San Diego,13675,
University of San Francisco,15462,
University of Science and Arts of Oklahoma,706,
University of Scranton,10049,
University of Sioux Falls,1733,
University of South Alabama,6625,
University of South Carolina-Aiken,2341,
University of South Carolina-Beaufort,1970,
University of South Carolina-Columbia,25740,
University of South Carolina-Lancaster,734,
University of South Carolina-Salkehatchie,855,
University of South Carolina-Sumter,497,
University of South Carolina-Union,328,
University of South Carolina-Upstate,4056,
University of South Dakota,4218,
University of South Florida-Main Campus,30393,
University of South Florida-Sarasota-Manatee,494,
University of South Florida-St Petersburg,5122,
University of Southern California,51924,
University of Southern Indiana,6215,
University of Southern Maine,3402,
University of Southern Mississippi,6046,
University of St Francis,1423,
University of St Thomas,874,
University of St Thomas,5436,
University of the Cumberlands,2431,
University of the Incarnate Word,4050,
University of the Ozarks,744,
University of the Pacific,14449,
University of the Sciences,3738,
University of the Virgin Islands,1094,
University of Toledo,10678,
University of Tulsa,6762,
University of Utah,12174,
University of Valley Forge,476,
University of Vermont,25274,
University of Virginia-Main Campus,30840,
University of Washington-Bothell Campus,2840,
University of Washington-Seattle Campus,36840,
University of Washington-Tacoma Campus,1577,
University of West Alabama,1195,
University of West Georgia,7878,
University of Wisconsin Colleges,5414,
University of Wisconsin-Eau Claire,5806,
University of Wisconsin-Green Bay,2137,
University of Wisconsin-La Crosse,6051,
University of Wisconsin-Madison,28007,
University of Wisconsin-Milwaukee,8758,
University of Wisconsin-Oshkosh,4755,
University of Wisconsin-Parkside,1662,
University of Wisconsin-Platteville,3531,
University of Wisconsin-River Falls,2476,
University of Wisconsin-Stevens Point,4381,
University of Wisconsin-Stout,3195,
University of Wisconsin-Superior,1006,
University of Wisconsin-Whitewater,6082,
University of Wyoming,4657,
Upper Cape Cod Regional Technical School,116,
Upper Iowa University,1794,
Urbana University,459,
Ursinus College,2634,
Ursuline College,723,
Utah State University,16158,
Utica College,5151,
Valdosta State University,5564,
Valley City State University,403,
Valley Forge Military College,1326,
Valparaiso University,6657,
Vanderbilt University,31464,
VanderCook College of Music,47,
Vanguard University of Southern California,1487,
Vassar College,7567,
Vaughn College of Aeronautics and Technology,748,
Venango County Area Vocational Technical School,55,
Vermont Technical College,443,
Vet Tech Institute of Houston,157,
Villa Maria College,315,
Villanova University,16206,
Virginia Commonwealth University,14815,
Virginia Marti College of Art and Design,28,
Virginia Military Institute,1779,
Virginia Polytechnic Institute and State University,22280,
Virginia State University,6650,
Virginia Union University,7337,
Virginia Wesleyan College,1850,
Visible Music College,17,
Viterbo University,1430,
Voorhees College,1393,
Wabash College,1247,
Wagner College,2803,
Wake Forest University,13281,
Waldorf University,873,
Walla Walla University,1816,
Walsh University,1447,
Warner Pacific College,1418,
Warner University,625,
Warren Wilson College,809,
Wartburg College,2147,
Washburn Institute of Technology,1060,
Washington & Jefferson College,6835,
Washington Adventist University,1375,
Washington and Lee University,5377,
Washington College,6847,
Washington Hospital School of Radiologic Technology,4,
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,59,
Washington State University,19766,
Washington University in St Louis,29259,
Watkins College of Art Design & Film,117,
Wayland Baptist University,542,
Wayne State University,10009,
Waynesburg University,1418,
Webb Institute,105,
Webber International University,739,
Webster University,1994,
Wellesley College,4623,
Wells College,2225,
Wentworth Institute of Technology,6975,
Wesley College,4051,
Wesleyan University,9822,
West Chester University of Pennsylvania,12624,
West Coast University-Dallas,10,
West Coast University-Los Angeles,12,
West Coast University-Miami,5,
West Coast University-Ontario,26,
West Coast University-Orange County,47,
West Liberty University,1692,
West Texas A & M University,5557,
West Virginia State University,1439,
West Virginia University,15353,
West Virginia University Institute of Technology,929,
West Virginia Wesleyan College,1782,
Western Area Career & Technology Center,33,
Western Carolina University,17699,
Western Connecticut State University,5235,
Western Illinois University,10877,
Western Kentucky University,8957,
Western Michigan University,15175,
Western New England University,6207,
Western Oregon University,3327,
Western Pennsylvania Hospital School of Nursing,33,
Western State Colorado University,1631,
Western Washington University,9933,
Westfield State University,5140,
Westminster College,2001,
Westminster College,1789,
Westminster College,1762,
Westmont College,2077,
Wheaton College,4322,
Wheaton College,1971,
Wheeling Jesuit University,1217,
Wheelock College,1331,
Whitman College,3790,
Whittier College,5192,
Whitworth University,4545,
Wichita State University,5430,
Widener University,5421,
Wilberforce University,1596,
Wilkes University,3164,
Willamette University,6332,
William Carey University,842,
William Jessup University,522,
William Jewell College,1456,
William Paterson University of New Jersey,9851,
William Peace University,1829,
William Penn University,1153,
William Woods University,863,
Williams Baptist College,582,
Williams College,6883,
Wilmington College,2240,
Wilson College,1112,
Wilson Workforce and Rehabilitation Center,64,
Wingate University,8018,
Winona State University,6780,
Winston-Salem State University,4478,
Winthrop University,4876,
Wisconsin Lutheran College,710,
Wittenberg University,6487,
Wofford College,2792,
Wood County School of Practical Nursing,6,
Wood Tobe-Coburn School,540,
Woodbury University,1342,
Worcester Polytechnic Institute,10172,
Worcester State University,3703,
Wright State University-Lake Campus,385,
Wright State University-Main Campus,5560,
Xavier University,10661,
Xavier University of Louisiana,4847,
Yale University,30236,
Yeshiva D'monsey Rabbinical College,18,
Yeshiva Derech Chaim,58,
Yeshiva Gedola Ohr Yisrael,4,
Yeshiva Gedolah Kesser Torah,28,
Yeshiva Gedolah of Greater Detroit,17,
Yeshiva Gedolah Zichron Leyma,7,
Yeshiva Karlin Stolin,38,
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,27,
Yeshiva of Machzikai Hadas,86,
Yeshiva of the Telshe Alumni,25,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,101,
Yeshiva Shaar Hatorah,41,
Yeshiva Sholom Shachna,29,
Yeshiva Toras Chaim,62,
Yeshiva University,1558,
Yeshiva Yesodei Hatorah,17,
Yeshivas Be'er Yitzchok,35,
Yeshivas Novominsk,42,
Yeshivat Mikdash Melech,4,
Yeshivath Viznitz,109,
Yeshivath Zichron Moshe,12,
York College,615,
York College Pennsylvania,13235,
Young Harris College,2232,
Youngstown State University,7966,
Zaytuna College,21,
